WordIndex,OriginalCode,RollupCode
356,943.52,PheCode:1000
357,642.03,PheCode:642
358,V32.1,PheCode:634
359,995.69,PheCode:930
360,286.7,PheCode:286
360,286.7,PheCode:286.4
361,053.0,PheCode:320
362,716.01,PheCode:716
362,716.01,PheCode:716.3
363,806.05,PheCode:805
364,209.63,PheCode:209
365,330.9,PheCode:331
366,327.24,PheCode:327.3
366,327.24,PheCode:327.31
367,808.53,PheCode:802
368,099.0,PheCode:090
369,379.21,PheCode:379
369,379.21,PheCode:379.2
370,943.13,PheCode:1000
371,E942.3,PheCode:972
372,374.44,PheCode:374
373,013.35,PheCode:010
374,381.06,PheCode:381
374,381.06,PheCode:381.1
375,446.1,PheCode:446
375,446.1,PheCode:446.2
376,996.95,PheCode:851
377,989.5,PheCode:913
378,171.6,PheCode:170
378,171.6,PheCode:170.2
379,942.15,PheCode:1000
380,642.40,PheCode:642
380,642.40,PheCode:642.1
381,210.8,PheCode:210
382,654.11,PheCode:654.1
383,477.2,PheCode:476
385,506.4,PheCode:500
386,E939.5,PheCode:969
387,618.3,PheCode:618
387,618.3,PheCode:618.2
388,806.15,PheCode:805
389,305.21,PheCode:316
390,369.73,PheCode:367
390,369.73,PheCode:367.9
392,780.97,PheCode:292
392,780.97,PheCode:292.4
393,015.16,PheCode:010
394,698.4,PheCode:695
394,698.4,PheCode:695.8
395,804.80,PheCode:819
396,V02.61,PheCode:1010
397,651.40,PheCode:651
398,996.55,PheCode:859
399,584.8,PheCode:585
399,584.8,PheCode:585.1
400,675.94,PheCode:647
401,935.2,PheCode:1001
402,213.0,PheCode:213
403,839.30,PheCode:830
404,491.9,PheCode:496
404,491.9,PheCode:496.2
405,V21.33,PheCode:637
406,017.60,PheCode:010
407,374.12,PheCode:374
407,374.12,PheCode:374.1
408,645.01,PheCode:645
409,041.2,PheCode:041
412,530.83,PheCode:530
413,130.5,PheCode:131
414,365.12,PheCode:365
414,365.12,PheCode:365.1
415,719.45,PheCode:745
416,910.5,PheCode:912
417,V04.1,PheCode:1010
418,017.71,PheCode:010
419,339.83,PheCode:339
420,472.0,PheCode:472
423,863.29,PheCode:1008
424,777.2,PheCode:656
424,777.2,PheCode:656.6
425,812.31,PheCode:803
425,812.31,PheCode:803.1
426,830.1,PheCode:830
428,943.09,PheCode:1000
430,803.02,PheCode:819
431,022.8,PheCode:041
432,156.2,PheCode:159
432,156.2,PheCode:159.3
433,806.01,PheCode:805
437,296.89,PheCode:296
437,296.89,PheCode:296.1
438,V75.5,PheCode:1010
441,238.2,PheCode:173
442,271.4,PheCode:271
442,271.4,PheCode:271.9
443,847.2,PheCode:841
444,944.56,PheCode:1000
445,015.74,PheCode:010
446,157.9,PheCode:157
447,673.03,PheCode:671
448,786.51,PheCode:418.1
449,370.24,PheCode:370
449,370.24,PheCode:370.2
450,366.16,PheCode:366
450,366.16,PheCode:366.2
451,726.65,PheCode:726
451,726.65,PheCode:726.3
453,741.01,PheCode:752
453,741.01,PheCode:752.1
453,741.01,PheCode:752.11
454,794.31,PheCode:426
454,794.31,PheCode:426.7
455,590.9,PheCode:590
457,446.29,PheCode:446
457,446.29,PheCode:446.3
458,133.9,PheCode:132
459,437.9,PheCode:433
460,714.4,PheCode:714
461,281.1,PheCode:281
461,281.1,PheCode:281.1
461,281.1,PheCode:281.12
462,978.4,PheCode:941
463,272.9,PheCode:272
463,272.9,PheCode:272.9
464,718.31,PheCode:742
464,718.31,PheCode:742.2
465,368.9,PheCode:368
466,755.20,PheCode:755
466,755.20,PheCode:755.4
467,V75.8,PheCode:1010
468,716.66,PheCode:716
468,716.66,PheCode:716.2
470,788.91,PheCode:599
470,788.91,PheCode:599.8
471,998.00,PheCode:958
471,998.00,PheCode:958.1
472,852.19,PheCode:818
472,852.19,PheCode:818.2
473,E950.3,PheCode:297
473,E950.3,PheCode:297.2
474,206.92,PheCode:204
474,206.92,PheCode:204.3
475,368.52,PheCode:368.5
476,599.84,PheCode:597
477,196.5,PheCode:198
477,196.5,PheCode:198.1
478,789.32,PheCode:579
479,959.1,PheCode:1009
480,250.01,PheCode:250
480,250.01,PheCode:250.1
481,719.04,PheCode:741
481,719.04,PheCode:741.4
483,617.4,PheCode:615
484,646.30,PheCode:634
485,367.53,PheCode:368
485,367.53,PheCode:368.7
486,617.1,PheCode:615
487,164.3,PheCode:164
488,121.3,PheCode:134
489,801.12,PheCode:819
490,801.34,PheCode:819
491,253.7,PheCode:258
492,804.52,PheCode:819
493,851.06,PheCode:816
494,045.21,PheCode:324
496,353.4,PheCode:353
